PHRASE,MEANING
a blessing in disguise,the misfortune which turns out to have advantages.
blaze a trail,to find a new method/technique.
draw a blank,to get no response from someone.
in black and white,printed form of a document.
black sheep,a disgrace.
bite tongue,to keep yourself from saying something that you really want to say.
bite off more than can chew,try to do more than one is able to do.
bite the hand that feed,to turn against someone who has been a benefactor in the past.
bite the dust,to fall to the ground.
big deal,important thing.
bits and pieces,miscellaneous small objects.
bird's eye view,eye view meaning: an overview. example: this website gives you a birds eye view of the idioms used in indian exam system since british times.
a bird in the hand,a possession that is worthy.
foot the bill,pay the bill.
fill the bill,be exactly suitable for a particular situation.
back to the drawing board,back to the planning stage.
big cheese,to be an important and successful individual.
bide time,to wait for the perfect moment to do something.
beyond a shadow of doubt,to be certain about something's validity.
the better of,to become superior to someone or thing.
better half,spouse.
better late than never,it is better for somebody or something to be late than never to arrive or to happen.
make the best of,to look for a positive side of a seemingly negative situation.
below the belt,to be mean and unfair (in a fight).
raining cats and dogs,too much heavy rain.
a bed of roses,easy option.
tighten belt,to save your money.
bated breath,to wait in a nervous and excited manner.
beat a hasty retreat,abandon something (speedily).
at bay,to keep something dangerous at a safe distance.
bark up the wrong tree,waste one's efforts by pursuing the wrong thing or path.
bang on,to be exact; to be correct; to be proper.
banana republic,"a small, poor country with a weak, corrupt or dishonest government."
have a ball,to have a great time.
a bag or bundle of nerves,"bundle of nerves meaning: very nervous person. example: before the interview, he was a bundle of nerves."
back door,to take indirect or unofficial route to get something done.
on the brink of,to be on the verge of doing something.
cross the bridge,to delay worrying about something that might not happen anyway.
back to square one,return to where one started from.
get to the bottom,to find out the truth relating to a situation.
in the good books,be in somebody's favour or good opinion.
bone of contention,the subject of a dispute.
above board,"straight; without concealment, legitimate; open."
out of the blue,out of nowhere or unexpectedly.
turn a blind eye,deliberately overlook.
a bit much,to be excessive.
give hell,to give someone a harsh scolding.
the benefit of the doubt,regards a person as innocent unless confirmed otherwise.
get out of bed on the wrong side,be very irritable and grouchy.
bend over backwards,do all in one's power (usually to achieve something or accommodate somebody).
the ball rolling,to start a conversation in a social setting.
in a bad way,to say or mean something ill.
to see the back of,to be glad that you no longer have to deal with someone.
as an aside,indirect communication.
all up,finished.
ages,a long time; a very long time.
blow-by-blow account,to describe (something) in exceptional detail.
arrive in a body, a body meaning: arrive with unity as a group. example: “the classroom became too noisy when all the students arrived in a body.”.
as well as,additionally.
as well,to be in addition to (something).
as to,with regard to.
as soon as,"s meaning: when, just after something. example: he get the auto-rickshaw as soon as he reached to the bus stop."
as long as,to put condition of time on an action.
as for,to be regarding (something or someone).
as far as,to the extent of something.
all of a sudden,"sudden meaning: suddenly, without advance warning. example: all of sudden it became dark and the rain started."
account for,to have to provide an explanation for (something).
according to,as mentioned by someone else either verbal or scriptural.
about to,to be at the point where something was just going to be done.
as a matter of fact,to be or have done something in actuality.
avant-garde,this phrase refers to artists whose work was ahead of their times.
high or top on agenda,"op on agenda meaning: if a subject or plan is at the top of somebodys agenda, it is the most important thing they want to discuss … read on."
ad hoc,"something arranged, started, or done only when necessary but not planned earlier."
make an ass,to make a fool of someone.
arm in arm,to be closely allied.
give airs,to be pretentious/showy.
axe to grind,have a private or selfish reason for doing something.
Adam's ale,water.
keep at arm's length,keep distance from something or somebody.
in the ascendant,to become more powerful.
armed to the teeth,"heavily and formidably armed, usually with deadly weapons."
as and when,at the time when (used to refer to an uncertain future event).
up in arms,angry.
long arm of the law,the extensive influence of the authorities.
seal of approval,an official sign of approval.
upset the applecart,spoil or disrupt a plan or arrangement.
apple of eye,"the person of whom one is extremely fond, favorite, loving."
apple of discord,something that causes trouble or unhappiness.
ants in pants,be extremely restless.
up the ante,increase the demands or risks to obtain better results.
run amok (amuck),act in a wild or dangerous manner.
all and sundry,everyone.
alpha and omega,both the beginning and the end.
alive and kicking,lively and active.
in the blink of an eye,in an instant.
across the board,applying to everyone.
come of age,"become an adult, reach adult status."
get act together,get organized and on schedule.
a man of action,a person of energetic activity.
acid test,a test that proves a hypothesis or validity of a product or idea.
Achilles heel,a vulnerable spot or weakness.
own accord,by one's own choice.
take aback,surprised or confused by something unexpected.
from A to Z,comprehensive.
up in the air,"unresolved, undecided."
out of action,something is not working or cannot be used.
all in all,considering everything that has happened.
clear the air,get rid of all doubts and negative feelings.
take into account,bear in mind.
ABC,the alphabet (see example 1 and 2).
crocodile tears,shed crocodile tears.
